Trait	Cell type	Pct. of sig. cells	ICePop discovery	Seismic discovery	scDRS discovery
Inflammatory bowel disease	Epithelial cell	0.0352112676056338	True	False	True
Monocyte count	Myeloid cell	0.7742566510172144	True	False	True
Alzheimer disease	Myeloid cell	0.702660406885759	True	False	True
Basal metabolic rate	Skeletal muscle satellite cell	0.4143119266055046	True	False	True
Atrial fibrillation	Endothelial cell of coronary artery	0.2524127691165553	True	False	True
Ulcerative colitis	Myeloid cell	0.7546948356807511	True	False	True
Hemoglobin A1c	Epithelial cell of large intestine	0.4518779342723005	True	False	True
Heel bone mineral density T score	Endothelial cell	0.6343344155844156	True	False	True
Heel bone mineral density T score	Aortic endothelial cell	0.0985010706638115	True	False	True
Mean corpuscular hemoglobin	Epithelial cell of large intestine	0.397300469483568	True	False	True
Mean corpuscular hemoglobin	Precursor B cell	0.8329439252336449	True	False	True
Mean corpuscular hemoglobin	Thymocyte	0.8215384615384616	True	False	True
Number of children ever born	Astrocyte	0.9628378378378378	True	False	True
Rheumatoid arthritis	Epithelial cell	0.0352112676056338	True	False	True
Systolic blood pressure	Endothelial cell	0.7739448051948052	True	False	True
Systolic blood pressure	Aortic endothelial cell	0.2055674518201284	True	False	True
White blood cell count	Myeloid cell	0.7742566510172144	True	False	True
Hypothyroidism	Epithelial cell	0.0352112676056338	True	False	True
Hypothyroidism	Myeloid cell	0.7758215962441315	True	False	True
FEV1 FVC ratio	Basal cell of epidermis	0.5614617940199336	True	False	True
FEV1 FVC ratio	Bulge keratinocyte	0.7738095238095238	True	False	True
FEV1 FVC ratio	Endothelial cell	0.4807224025974026	True	False	True
FEV1 FVC ratio	Capillary endothelial cells	0.4218233349078885	True	False	True
FEV1 FVC ratio	Aortic endothelial cell	0.019271948608137	True	False	True
Eczema	Epithelial cell	0.2136150234741784	True	False	True
Eczema	Myeloid cell	0.7801251956181534	True	False	True
Eczema	Thymocyte	0.6455384615384615	True	False	True
Total protein	Myeloid cell	0.7550860719874805	True	False	True
Respiratory ENT	Thymocyte	0.8818461538461538	True	False	True
Red blood cell distribution width	Epithelial cell of large intestine	0.3485915492957746	True	False	True
Red blood cell distribution width	Myeloid cell	0.724960876369327	True	False	True
Coronary atherosclerosis	Endothelial cell	0.281452922077922	True	False	True
Coronary atherosclerosis	Aortic endothelial cell	0.2055674518201284	True	False	True
Neutrophil count	Epithelial cell of large intestine	0.1977699530516432	True	False	True
Neutrophil count	Myeloid cell	0.7523474178403756	True	False	True
Alkaline phosphatase	Epithelial cell of large intestine	0.3597417840375587	True	False	True
Lymphocyte count	Myeloid cell	0.7801251956181534	True	False	True
Lymphocyte count	Thymocyte	0.8818461538461538	True	False	True
Lymphocyte count	Aortic endothelial cell	0.0985010706638115	True	False	True
Diastolic blood pressure	Aortic endothelial cell	0.2055674518201284	True	False	True
Idiopathic pulmonary fibrosis	CD8-positive, alpha-beta T cell	0.6644859813084112	True	False	True
Eosinophil count	Epithelial cell	0.0352112676056338	True	False	True
Eosinophil count	Myeloid cell	0.7801251956181534	True	False	True
Eosinophil count	Thymocyte	0.8818461538461538	True	False	True
Hypertension	Aortic endothelial cell	0.2055674518201284	True	False	True
Crohn disease	Epithelial cell	0.0352112676056338	True	False	True
Multiple sclerosis	Myeloid cell	0.7758215962441315	True	False	True
Multiple sclerosis	Thymocyte	0.7741538461538462	True	False	True
Multiple sclerosis	Kupffer cell	0.6793893129770993	True	False	True
Waist hip ratio adjusted BMI	Endothelial cell	0.6625405844155844	True	False	True
Waist hip ratio adjusted BMI	Aortic endothelial cell	0.1220556745182012	True	False	True
